chr	start	end	consensus	bound_Sc4	chip_sc4_PHO2_noPi	chip_sc4_pho2_noPi	bound_cg4	chip_cg4_PHO2_pho80	chip_cg4_pho2_pho80	geneName	geneID	peak_to_cds	induced_sc4_PHO2	induced_sc4_pho2	fc_sc4_PHO2	fc_sc4_pho2	induced_cg4_PHO2	induced_cg4_pho2	fc_cg4_PHO2	fc_cg4_pho2
chr14	226449	227447	TRUE	FALSE	2.593	1.621	TRUE	3.583	2.986	SQS1	YNL224C	0	FALSE	FALSE	0.52	0.06	TRUE	TRUE	1.43	1.42
chr14	226449	227447	TRUE	FALSE	2.593	1.621	TRUE	3.583	2.986	ATG4	YNL223W	123	FALSE	FALSE	0.13	-0.11	TRUE	TRUE	2.17	1.89
chr14	477612	478610	TRUE	TRUE	3.771	2.593	TRUE	3.753	4.103	EOS1	YNL080C	0	FALSE	FALSE	-0.14	-0.05	FALSE	FALSE	-0.37	-0.42
chr14	545877	546377	TRUE	TRUE	3.81	1.296	TRUE	2.885	2.187	YNL042W-B	YNL042W-B	736	NA	NA	NA	NA	NA	NA	NA	NA
chr14	700774	701772	TRUE	FALSE	3.221	2.593	TRUE	3.033	6.418	MVD1	YNR043W	323	FALSE	FALSE	0.5	-0.07	TRUE	FALSE	1.47	1.34
chr14	727718	728716	TRUE	TRUE	5.5	2.161	TRUE	6.546	6.565	ESF2	YNR054C	3812	FALSE	FALSE	-0.11	0.02	FALSE	FALSE	-0.71	-0.83
chr14	738508	739506	TRUE	FALSE	3.26	1.512	TRUE	3.394	3.235	FRE4	YNR060W	645	TRUE	FALSE	1.76	0.64	FALSE	FALSE	-0.02	0.49
chr15	49849	50847	TRUE	FALSE	1.571	2.377	TRUE	3.762	4.98	PEX11	YOL147C	1606	FALSE	FALSE	-0.15	-0.1	FALSE	FALSE	0.89	0.65
chr15	68706	69704	TRUE	TRUE	7.189	3.998	TRUE	4.796	4.527	PFK27	YOL136C	352	FALSE	FALSE	0.5	-0.05	FALSE	FALSE	0.78	0.59
chr15	217094	218092	TRUE	FALSE	4.046	2.917	TRUE	3.3	4.528	MAM3	YOL060C	1357	FALSE	FALSE	0.24	-0.01	FALSE	FALSE	0.71	0.65
chr15	391305	391920	FALSE	TRUE	3.653	2.701	TRUE	3.903	3.733	YOR032W-A	YOR032W-A	256	FALSE	FALSE	1.64	-0.49	TRUE	TRUE	3.83	4.05
chr15	641997	642995	TRUE	TRUE	9.664	3.566	TRUE	6.175	10.062	DDP1	YOR163W	0	TRUE	FALSE	1.44	0.04	TRUE	TRUE	2.47	2.25
chr15	641997	642995	TRUE	TRUE	9.664	3.566	TRUE	6.175	10.062	YRR1	YOR162C	405	FALSE	FALSE	0.49	-0.1	TRUE	TRUE	2.48	2.16
chr15	677087	678085	TRUE	FALSE	2.475	3.242	TRUE	2.274	2.847	FYV12	YOR183W	987	NA	NA	NA	NA	NA	NA	NA	NA
chr15	911474	912472	TRUE	TRUE	19.133	11.131	TRUE	15.618	13.479	HSH49	YOR319W	550	FALSE	FALSE	0.13	0.02	FALSE	FALSE	0.26	0.05
chr15	978654	979652	TRUE	TRUE	46.241	8.862	TRUE	12.731	10.992	TYE7	YOR344C	985	TRUE	FALSE	1.44	0.04	TRUE	TRUE	2.25	1.71
chr16	74483	75481	TRUE	TRUE	4.872	4.97	TRUE	3.093	5.806	ICY2	YPL250C	164	FALSE	FALSE	0.29	0.16	TRUE	FALSE	1.59	1.21
chr16	214862	215860	TRUE	TRUE	4.126	3.134	TRUE	5.284	8.243	CUP9	YPL177C	1300	FALSE	FALSE	0.46	0.08	FALSE	FALSE	1.16	0.81
chr16	225899	226897	TRUE	FALSE	2.199	3.565	TRUE	1.664	2.903	COX10	YPL172C	558	FALSE	FALSE	-0.38	0.01	FALSE	FALSE	0.17	0.42
chr16	344623	345621	TRUE	TRUE	3.81	1.945	TRUE	2.743	1.745	GDE1	YPL110C	284	TRUE	FALSE	2.24	-0.02	TRUE	TRUE	1.65	1.44
chr16	424748	425746	TRUE	FALSE	3.615	3.35	TRUE	2.089	3.481	YPL066W	YPL066W	687	FALSE	FALSE	0.18	0.1	FALSE	FALSE	0.03	0.02
chr16	453093	454091	TRUE	TRUE	29.23	24.964	TRUE	17.808	16.256	LCL1	YPL056C	0	FALSE	FALSE	-0.1	-0.27	FALSE	FALSE	0.16	-0.28
chr16	516762	517760	TRUE	TRUE	132.831	36.744	TRUE	29.841	30.548	CTF19	YPL018W	91	TRUE	FALSE	3.58	-0.18	TRUE	TRUE	4.77	4.21
chr16	516762	517760	TRUE	TRUE	132.831	36.744	TRUE	29.841	30.548	VTC3	YPL019C	0	TRUE	FALSE	4.31	-0.04	TRUE	TRUE	5.66	4.62
chr16	640772	641770	TRUE	TRUE	24.358	24.423	TRUE	15.465	13.149	GLN1	YPR035W	638	FALSE	FALSE	-0.28	0.01	FALSE	FALSE	-0.61	-0.72
chr16	719151	720149	TRUE	FALSE	2.317	2.377	TRUE	3.353	4.728	RDS3	YPR094W	688	FALSE	FALSE	-0.22	0.16	FALSE	FALSE	0.69	0.71
chr16	839931	840929	TRUE	FALSE	2.278	3.565	TRUE	2.822	3.796	YPR157W	YPR157W	537	FALSE	FALSE	0.33	0.22	FALSE	FALSE	0.88	1.06
chr16	927275	928612	TRUE	TRUE	4.831	1.836	TRUE	3.283	1.446	OPT2	YPR194C	338	FALSE	FALSE	0.31	-0.01	FALSE	FALSE	0.52	0.38
